"LUGAR","lon","lat"
"PO SANTA MARIA DE LA CABEZA SN          ",-3.6971802,40.4029206
"JOSE BARDASANO BAOS, S/N                ",-3.6722952,40.4679969
"VALLE DE ORO 4                          ",-3.7302841,40.3881465
"VELAZQUEZ-JOAQUIN COSTA                 ",-3.68326,40.44281
"GUAYABA 6                               ",-3.7480914,40.3716416
"TRAV PRIMAVERA 2",-3.7008387,40.4092014
"AV ANDALUCIA-AV G V VILLAVERDE          ",-3.6940456,40.345128
"E.JARD.PONCELA-FEDERI. SALMON           ",-3.6681226,40.4607489
"M 30 KM 6,600 CALZADA 2                 ",-3.7224778,40.4210557
"EMBAJADORES 200",-3.6934004,40.3915595
"PROFESOR ARANGUREN 3",-3.7318673,40.4471391
"PZ JUAN ZORRILLA 4                      ",-3.7046117,40.4424946
"MARIA ODIAGA 59                         ",-3.7443325,40.3750118
"ESCORIAL                                ",-4.1477268,40.5890408
"EMBAJADORES-AV PLANETARIO               ",-3.6900094,40.3868607
"AV MEMORIA 2                            ",-3.7216737,40.4372698
"M 30 KM 0,700 CALZADA 2",-3.7224778,40.4210557
"PRINCESA 88",-3.7179655,40.4333842
"PEDRO HEREDIA 30                        ",-3.6626606,40.4298491
"ALCALA 242                              ",-3.6563595,40.4318466
"CTRA VALDEMINGOMEZ A 3                  ",-3.562259,40.3591309
"JOSE PAULETE-PIO FELIPE                 ",-3.6529392,40.3937021
"A 3 VIA SERVICIO TACONA                 ",-3.7097692,40.5549709
"N V KM 5                                ",-3.6508385,40.3627476
"FLOR BAJA-I LA CATOLICA                 ",-3.7104589,40.4224712
"PUERTO DE CORLITE 3                     ",-3.6538517,40.3866866
"REY FRANCISCO 15                        ",-3.7164442,40.4270124
"AGASTIA 74                              ",-3.6541323,40.4496663
"JULIO CAMBA-ALCALA                      ",-3.6639735,40.4304047
"PO OLMOS-GTA PUERTA DE TOLEDO           ",-3.7122787,40.4063206
"ALCALA 510 REPSOL                       ",-3.6253028,40.4410596
"AV PABLO IGLESIAS 8",-3.7055187,40.4435247
